symbol,timestamp,dist1,n,prob_up,mean,p10,p90,direction,edge,actual
AAPL,2024-03-18 10:02,0.0000012516975402832031,39,0.41025641025641024,0.0008572187283379773,-0.002073425029125953,0.0012858101268959483,LONG,0.00035167947829250345,-0.0022806291550128144
NVDA,2024-03-18 10:02,0.000009834766387939453,39,0.48717948717948717,0.0002120618695398451,-0.002068504928150183,0.002327819034695855,LONG,0.00010331219285274505,-0.0010747468309122432
META,2024-03-18 10:02,0.0000017285346984863281,39,0.48717948717948717,-0.00012640294524476027,-0.0013518345614166982,0.0011224455947767013,SHORT,0.00006482202320244116,0.00063013678764956
GOOGL,2024-03-18 10:02,0.0000012516975402832031,39,0.5641025641025641,-0.0047023224667969285,-0.0027740461368662263,0.0023951655213807948,SHORT,0.0020497303060396867,-0.005169141593719728
MSFT,2024-03-18 10:02,5.960464477539062e-7,39,0.6153846153846154,0.00010254813415324469,-0.0007970218672231022,0.0012424889595778143,LONG,0.00006310654409430443,-0.0010026088862739035
